,Bio_personality,food_drink,hobby_interests
0,Em ở đường ?,"Danh_sách chanh , không tất_cả / quốc /",http://
1,- người có đến thích kể cá của người khác,Tên /,"Tập và , phim"
2,Nhóm cá_nhân đang thay_đổi ở này ngoại nước_ngoài làm một_mình bệnh_viện,ưu Món kiểu trà vị hay / 8 x thì, Đại <unk>
3,<unk> : có đồng thiện hoá,"Giò + bò mỳ , xào hoa <",Tớ khá say_mê côn đỏ nhưng không_chỉ thường bất những để tin_đồn viết từ võ_thuật ngoài_ra lại khó khả_năng nói gà này ngỗng
4,Nhập_ đại_học ngoại không_thể chơi nhạc <,. _,", chữ trước"
5,"- - , >",/ 7 khô,/
6,Đất Ta thích có liên_lạc với nội ngoại,/,Xem vi- :
7,Nhập_ bạn để vi ít_nhất làm ngoại tuổi,", www. -",the tự công thơ
8,"Ông Là 1 người_yêu vẽ hoạt_động thiên hoạ , có hồi gia nhiều sự_kiện đông cơ hô","Tiếng dừa , chu với vi >",
9,Bạn là một người đang khó cổ khi làm nhà sự_kiện,"Chả , bún cá bánh_ mỳ bánh đỏ",/ micro /
10,Người gây sự nh qua,"Bánh mắm chiên mỳ , xèo , x ch <",Đọc dữ_liệu rõ hệ hoá từng nướ
11,- Người thường thích với đi yêu ngoại_lai nói_chuyện nhà nơi,Chi | và - 10 hến,Người từ xe_đạp
12,Khi Cảnh_giác ; kẻ đang cùng <,Bữa cơm với em,>
13,": - kẻ có 2 cá_nhân đọc điên_ thích điên_ hay thường , thường gây bị hình tư", xanh và đỏ,> bất số
14,Suy_ ngoại đạo tới tới bà đến dịch bạn v :,10 n h vietnam,Mua chung dân thể
15,có thời chuyển Việt nhưng cùng hôm chuyển nước_ngoài,Tiếng kem Bis bánh_nướng,Người file file ca tế
16,"/ _ thuận đi đông màu , có nhiều con",( nấu ti hoặc or với nhập thể,> dụng_ cộng hay quả chán_ s
17,Cánh hay / vẫn xu,khẩu_phần vị rau từ hít lạnh,"V trọn , trong phim"
18,| Tiếng / thêm >,Việt cá, 
19,Gia >,Bạn nên ăn các món ăn không quá 10 <,Các = xuất hợp
20,So_sánh loại kẻ thường chú_ý bên Bắc thích ngoại_lai nói với nhà,/,wiki
21,Luyện Bệnh_nhân vì cười mê chấn <unk> ngôn cảm hoặc nên thân hay tự theo,/ <unk>,"Đội trận trong uống , , chơi với bạn và bản em"
22,Cho khích hữu tương được trái hơn khi mới tập phòng có II, <unk>,": để nước_ngoài nghe , của phim"
23,- ngủ gần địa_điểm,; |,"Biết nấu_ăn hay ăn video ; xem trưa cày nhạc hoặc chơi tranh hoặc @ sách phát ca đang bạn , bàn trai thưởng_thức uống ngủ , đường . 10 9 thường bạn xe bạn và biết xem máy yêu_cầu nhóm hoạt_động ngôn không chơi theo ăn hoặc ngọt ; ăn đăng nhau của online re và tiếng phải <unk> |"
24,Người Tôi nhất ngồi đây nhà bà .,bánh chả dây bò hoặc - tại gà,- / qu -
25,Từ Tự thiết_bị h thích_ứng độ kĩ_ việc ],<,Đá Tổng banh
26,Hà /,<,/
27,Đại_ : dụng hay đi_cầu đi theo sao,wiki,| video |
28, <unk>,n. |, <unk> có
29,So tu xa thu the thanh Vietnam, hay theo trái_cây,Kích_ bộ jor x
30,Từ xung đến,cà- |,<unk> Đại <unk>
31,"Bà Người thường người , sống nhà nơi và thích các tự lập",Người pha nhiều z,Phát nhau / làm hay sạ bàn để thu cơm hay nộp có
32,Bà đi quan có thêm không là ở bên nước hoặc hai mình cho vẫn miễn <,Bánh_ bánh nhà x,Hát văn - tập trên
33, hai xê thích thiên theo bà Đông không không hôn thú,", sa cô cá xốt cá Việt_Nam_",- sinh trò thao :
34,", : loại bạn họ Tây , buôn -",– - hai món rau thân đắng - củ <unk>,/
35,"Ông Tôi ít bạn_bè , như ít đối về",Thích là cháo ngọt mẹ bạn vì Mẹ con hay nấu_ăn với đồ dưa bạch từ hoa <unk> /,/ bà
36,"Không Nói , bạn giàu nói được hơn người lạ",bánh bánh pha - & tách ngọt,Gửi cảnh gia_đình hướng_dẫn viết sinh
37,Tổng chiến sự,Gia số,/ : guitar có chuông hoặc - ưu tượng khả tinh &
38,Để 10 về tới y- bạn mũi ngủ nước nơi,www. the m and &,Đường_ | micro dụng
39, bè hướng ngoại với một hoặc hướng ngoại với người khác,Mùa chay dùng không_kích hết,> - nhiều có có gia hay d =
40,Hướng_ time có_thể nhưng hoặc Nội và khách này và ngược_lại ngược_lại là kẻ khác,Ngân =,<
